[?25l[?25h   +------------------------------------------+----------+------+------+--------+
   | filename                                 | coverage | LOC  | SLOC | missed |
   | NX/util/HashMap/getArray.js              |   100.00 |   32 |    1 |      0 |
   | NX/util/HashMap/each.js                  |   100.00 |   43 |    3 |      0 |
   | NX/util/HashMap/clone.js                 |   100.00 |   32 |    6 |      0 |
   | NX/util/HashMap/findKey.js               |   100.00 |   32 |    1 |      0 |
   | NX/AbstractManager/constructor.js        |   100.00 |   29 |    5 |      0 |
   | NX/AbstractManager/get.js                |    50.00 |   23 |    2 |      1 |
   | NX/AbstractManager/register.js           |    50.00 |   23 |    2 |      1 |
   | NX/AbstractManager/unregister.js         |    50.00 |   23 |    2 |      1 |
   | NX/AbstractManager/registerType.js       |    33.33 |   24 |    3 |      2 |
   | NX/AbstractManager/isRegistered.js       |    50.00 |   23 |    2 |      1 |
   | NX/AbstractManager/create.js             |    20.00 |   30 |    5 |      4 |
   | NX/AbstractManager/onAvailable.js        |    50.00 |   34 |    2 |      1 |
   | NX/AbstractManager/each.js               |    50.00 |   23 |    2 |      1 |
   | NX/AbstractManager/getCount.js           |    50.00 |   23 |    2 |      1 |
   | NX/server/Server/index.js                |   100.00 |   37 |    1 |      0 |
   | NX/server/ServerManager/index.js         |    30.00 |   82 |   10 |      7 |
   | NX/core/class/ClassManager/get.js        |   100.00 |   51 |    3 |      0 |
   | NX/controller/Controller/index.js        |   100.00 |   29 |    1 |      0 |
   | NX/controller/ControllerManager/index.js |   100.00 |   29 |    1 |      0 |
   | NX/module/Module/index.js                |   100.00 |   29 |    1 |      0 |
   | NX/module/ModuleManager/index.js         |   100.00 |   29 |    1 |      0 |
   | NX/view/AbstractView/index.js            |   100.00 |   29 |    1 |      0 |
   | NX/view/ConsoleView/index.js             |   100.00 |   29 |    1 |      0 |
   | NX/view/WebView/index.js                 |   100.00 |   29 |    1 |      0 |
   | NX/core/class/ClassManager/setAlias.js   |    75.00 |   59 |    4 |      1 |
   | NX/core/class/ClassManager/getNamesByExpression.js |    40.00 |   77 |    5 |      3 |
   | NX/core/class/ClassManager/getNameByAlias.js |   100.00 |   23 |    1 |      0 |
   | NX/core/class/ClassManager/insertDefaultPreprocessor.js |   100.00 |   51 |    8 |      0 |
   | NX/core/class/ClassManager/getAliasesByName.js |   100.00 |   23 |    2 |      0 |
   | NX/core/util/DelayedTask/index.js        |   100.00 |   70 |    1 |      0 |
   | NX/core/util/Event/index.js              |   100.00 |  181 |    6 |      0 |
   | NX/core/util/Event/addListener.js        |    50.00 |   38 |    2 |      1 |
   | NX/core/util/Event/findListener.js       |   100.00 |   43 |    1 |      0 |
   | NX/core/util/Event/isListening.js        |   100.00 |   23 |    1 |      0 |
   | NX/core/util/Event/removeListener.js     |    14.29 |   58 |    7 |      6 |
   | NX/core/util/Event/clearListeners.js     |   100.00 |   29 |    1 |      0 |
   | NX/core/util/Event/fire.js               |   100.00 |   52 |    1 |      0 |
   | NX/core/util/Event/createListener.js     |   100.00 |   50 |    1 |      0 |
   | NX/util/Observable/index.js              |   100.00 |  368 |    6 |      0 |
   | NX/util/Observable/releaseCapture.js     |   100.00 |   23 |    2 |      0 |
   | NX/util/Observable/capture.js            |   100.00 |   28 |    2 |      0 |
   | NX/util/Observable/observe.js            |   100.00 |   41 |    9 |      0 |
   | NX/util/Observable/constructor.js        |   100.00 |   43 |    3 |      0 |
   | NX/util/Observable/addManagedListener.js |     9.09 |   55 |   11 |     10 |
   | NX/util/Observable/removeManagedListener.js |     6.25 |   63 |   16 |     15 |
   | NX/util/Observable/fireEvent.js          |   100.00 |   73 |    5 |      0 |
   | NX/util/Observable/addListener.js        |   100.00 |   67 |    3 |      0 |
   | NX/util/Observable/removeListener.js     |   100.00 |   60 |    8 |      0 |
   | NX/util/Observable/clearListeners.js     |   100.00 |   37 |    4 |      0 |
   | NX/util/Observable/clearManagedListeners.js |    66.67 |   34 |    6 |      2 |
   | NX/util/Observable/addEvents.js          |   100.00 |   44 |    3 |      0 |
   | NX/util/Observable/hasListener.js        |    33.33 |   24 |    3 |      2 |
